source_symbol,sec_type_used,conid,symbol,sec_type,exchange,description,company_name,sections_json
LTC,OPT,9240,LTC,,,NYSE,LTC PROPERTIES INC,"[{""secType"": ""STK""}, {""secType"": ""OPT"", ""months"": ""MAY26;JUN26;AUG26;NOV26"", ""exchange"": ""SMART;AMEX;BATS;BOX;CBOE;CBOE2;EDGX;EMERALD;IBUSOPT;ISE;MEMX;MERCURY;MIAX;PEARL;PHLX;PSE;SAPPHIRE""}, {""secType"": ""CFD"", ""exchange"": ""SMART"", ""conid"": ""266310442""}, {""secType"": ""BAG""}]"
LTC,OPT,760235613,LTC,,,VENTURE,LOTUS CREEK EXPLORATION INC,"[{""secType"": ""STK""}]"
LTS,FOP,6604746,LTS,,,VALUE,LADENBURG THALMANN FINANCIAL,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LTS,FUT,6604746,LTS,,,VALUE,LADENBURG THALMANN FINANCIAL,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LTS,IND,6604746,LTS,,,VALUE,LADENBURG THALMANN FINANCIAL,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LTS,OPT,6604746,LTS,,,VALUE,LADENBURG THALMANN FINANCIAL,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
NGHO,FOP,53019364,NGHO,,,DOLLR4LOT,NEW GENERATION HOLDINGS INC,"[{""secType"": ""STK"", ""exchange"": ""DOLLR4LOT;""}]"
NGHO,FUT,53019364,NGHO,,,DOLLR4LOT,NEW GENERATION HOLDINGS INC,"[{""secType"": ""STK"", ""exchange"": ""DOLLR4LOT;""}]"
NGHO,IND,53019364,NGHO,,,DOLLR4LOT,NEW GENERATION HOLDINGS INC,"[{""secType"": ""STK"", ""exchange"": ""DOLLR4LOT;""}]"
NGHO,OPT,53019364,NGHO,,,DOLLR4LOT,NEW GENERATION HOLDINGS INC,"[{""secType"": ""STK"", ""exchange"": ""DOLLR4LOT;""}]"
NGO,FOP,150540628,NGO,,,FWB2,NEWLOX GOLD VENTURES CORP,"[{""secType"": ""STK"", ""exchange"": ""FWB2;""}]"
NGO,FUT,150540628,NGO,,,FWB2,NEWLOX GOLD VENTURES CORP,"[{""secType"": ""STK"", ""exchange"": ""FWB2;""}]"
NGO,IND,150540628,NGO,,,FWB2,NEWLOX GOLD VENTURES CORP,"[{""secType"": ""STK"", ""exchange"": ""FWB2;""}]"
NGO,OPT,150540628,NGO,,,FWB2,NEWLOX GOLD VENTURES CORP,"[{""secType"": ""STK"", ""exchange"": ""FWB2;""}]"
NGP,FOP,732764737,NGP,,,FORECASTX,US Natural Gas Production,"[{""secType"": ""EC""}]"
NGP,FUT,732764737,NGP,,,FORECASTX,US Natural Gas Production,"[{""secType"": ""EC""}]"
NGP,IND,732764737,NGP,,,FORECASTX,US Natural Gas Production,"[{""secType"": ""EC""}]"
NGP,OPT,732764737,NGP,,,FORECASTX,US Natural Gas Production,"[{""secType"": ""EC""}]"
NHP,FOP,876162846,NHP,,,NASDAQ,NATIONAL HEALTHCARE PROPERTI,"[{""secType"": ""STK""}]"
NTO,FOP,395173126,NTO,,,VALUE,NITRO SOFTWARE LTD,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
NTO,FOP,240609979,NTO,,,VSE,NINTENDO CO LTD,"[{""secType"": ""STK""}, {""secType"": ""IOPT""}]"
NTO,FOP,160213087,NTO,,,TASE,NETO ME HOLDINGS LTD,"[{""secType"": ""STK"", ""exchange"": ""TASE;""}]"
NTO,FUT,395173126,NTO,,,VALUE,NITRO SOFTWARE LTD,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
NTO,FUT,240609979,NTO,,,VSE,NINTENDO CO LTD,"[{""secType"": ""STK""}, {""secType"": ""IOPT""}]"
NTO,FUT,160213087,NTO,,,TASE,NETO ME HOLDINGS LTD,"[{""secType"": ""STK"", ""exchange"": ""TASE;""}]"
NTO,IND,395173126,NTO,,,VALUE,NITRO SOFTWARE LTD,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
NTO,IND,240609979,NTO,,,VSE,NINTENDO CO LTD,"[{""secType"": ""STK""}, {""secType"": ""IOPT""}]"
NTO,IND,160213087,NTO,,,TASE,NETO ME HOLDINGS LTD,"[{""secType"": ""STK"", ""exchange"": ""TASE;""}]"
NTO,OPT,395173126,NTO,,,VALUE,NITRO SOFTWARE LTD,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
NTO,OPT,240609979,NTO,,,VSE,NINTENDO CO LTD,"[{""secType"": ""STK""}, {""secType"": ""IOPT""}]"
NTO,OPT,160213087,NTO,,,TASE,NETO ME HOLDINGS LTD,"[{""secType"": ""STK"", ""exchange"": ""TASE;""}]"
PCM,FOP,44559212,PCM,,,NYSE,PCM FUND INC,"[{""secType"": ""STK""}]"
PCM,FUT,44559212,PCM,,,NYSE,PCM FUND INC,"[{""secType"": ""STK""}]"
PCM,IND,44559212,PCM,,,NYSE,PCM FUND INC,"[{""secType"": ""STK""}]"
PCM,OPT,44559212,PCM,,,NYSE,PCM FUND INC,"[{""secType"": ""STK""}]"
PPE,FOP,297281998,PPE,,,ASX,PEOPLEIN LTD,"[{""secType"": ""STK""}]"
PPE,FUT,297281998,PPE,,,ASX,PEOPLEIN LTD,"[{""secType"": ""STK""}]"
PPE,IND,297281998,PPE,,,ASX,PEOPLEIN LTD,"[{""secType"": ""STK""}]"
PPE,OPT,297281998,PPE,,,ASX,PEOPLEIN LTD,"[{""secType"": ""STK""}]"
UGEA,FOP,540920700,UGEA,,,NYMEX,CME CBL Global Emissions Offset Futures Index,"[{""secType"": ""IND"", ""exchange"": ""NYMEX;""}]"
UGEA,FUT,540920700,UGEA,,,NYMEX,CME CBL Global Emissions Offset Futures Index,"[{""secType"": ""IND"", ""exchange"": ""NYMEX;""}]"
UGEA,IND,540920700,UGEA,,,NYMEX,CME CBL Global Emissions Offset Futures Index,"[{""secType"": ""IND"", ""exchange"": ""NYMEX;""}]"
UGEA,OPT,540920700,UGEA,,,NYMEX,CME CBL Global Emissions Offset Futures Index,"[{""secType"": ""IND"", ""exchange"": ""NYMEX;""}]"
UGE,FOP,42808815,UGE,,,ARCA,PROSHARES ULTRA CONSUMER STA,"[{""secType"": ""STK""}, {""secType"": ""OPT"", ""months"": ""MAY26;JUN26;AUG26;NOV26"", ""exchange"": ""SMART;AMEX;BATS;BOX;CBOE;CBOE2;EDGX;GEMINI;IBUSOPT;NASDAQBX;NASDAQOM;PHLX;PSE""}, {""secType"": ""BAG""}]"
UGE,FOP,396329067,UGE,,,VALUE,UGE INTERNATIONAL LTD,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
UGE,FUT,42808815,UGE,,,ARCA,PROSHARES ULTRA CONSUMER STA,"[{""secType"": ""STK""}, {""secType"": ""OPT"", ""months"": ""MAY26;JUN26;AUG26;NOV26"", ""exchange"": ""SMART;AMEX;BATS;BOX;CBOE;CBOE2;EDGX;GEMINI;IBUSOPT;NASDAQBX;NASDAQOM;PHLX;PSE""}, {""secType"": ""BAG""}]"
UGE,FUT,396329067,UGE,,,VALUE,UGE INTERNATIONAL LTD,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
UGE,IND,42808815,UGE,,,ARCA,PROSHARES ULTRA CONSUMER STA,"[{""secType"": ""STK""}, {""secType"": ""OPT"", ""months"": ""MAY26;JUN26;AUG26;NOV26"", ""exchange"": ""SMART;AMEX;BATS;BOX;CBOE;CBOE2;EDGX;GEMINI;IBUSOPT;NASDAQBX;NASDAQOM;PHLX;PSE""}, {""secType"": ""BAG""}]"
UGE,IND,396329067,UGE,,,VALUE,UGE INTERNATIONAL LTD,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
